cardId,cardName,cost,attack,health,cardType,keywords,description
1,공용-정찰다람쥐,1,1,1,Unit,드로우,카드 1장을 뽑습니다
2,공용-이끼슬라임,1,1,2,Unit,,
3,공용-버섯정령,2,2,3,Unit,,
4,공용-가시고슴도치,2,2,2,Unit,반격,공격을 받으면 공격력(2)만큼 상대에게도 피해를 줍니다
5,공용-바위골렘,3,3,4,Unit,,
6,공용-치유나무정령,3,3,3,Unit,회복,전투의함성: 왼쪽 아군 체력을 공격력(3)만큼 회복시킵니다
7,공용-늪지트롤,4,4,5,Unit,,
8,공용-떠돌이석궁병,4,3,4,Unit,무기,전투의함성: 지정한 적 하수인에게 공격력(3)만큼 피해를 줍니다
9,공용-폭풍그리핀,5,4,6,Unit,앞의 적 피해,전투의함성: 정면 라인의 적에게 공격력(4)만큼 피해를 줍니다
10,인간-견습사서,1,1,1,Unit,드로우,카드 1장을 뽑습니다
11,인간-방패수습기사,2,2,2,Unit,반격,공격을 받으면 공격력(2)만큼 상대에게도 피해를 줍니다
12,인간-신관,2,2,2,Unit,회복,전투의함성: 왼쪽 아군 체력을 공격력(2)만큼 회복시킵니다
13,인간-왕국보병,3,2,5,Unit,,
14,인간-숙련된궁수,3,4,3,Unit,,
15,인간-포병지휘관,4,3,4,Unit,무기,전투의함성: 지정한 적 하수인에게 공격력(3)만큼 피해를 줍니다
16,인간-성기사단장,5,3,8,Unit,,
17,악마-속삭이는임프,1,1,1,Unit,드로우,카드 1장을 뽑습니다
18,악마-화염박쥐,2,2,2,Unit,앞의 적 피해,전투의함성: 정면 라인의 적에게 공격력(2)만큼 피해를 줍니다
19,악마-저주받은석궁병,2,2,1,Unit,무기,전투의함성: 지정한 적 하수인에게 공격력(2)만큼 피해를 줍니다
20,악마-가시지옥견,3,3,3,Unit,반격,공격을 받으면 공격력(3)만큼 상대에게도 피해를 줍니다
21,악마-핏빛광전사,3,5,2,Unit,,
22,악마-흡혈박쥐군주,4,4,4,Unit,회복,전투의함성: 왼쪽 아군 체력을 공격력(4)만큼 회복시킵니다
23,악마-지옥불악마,5,7,4,Unit,,
24,마법-지식의두루마리,2,0,0,Spell,드로우,카드 1장을 뽑습니다
25,마법-수호의축복,2,0,0,Spell,회복,명치가 맞은 횟수를 1 줄입니다
26,마법-심판의낙뢰,3,0,0,Spell,제거,정면 라인에 있는 적 하수인 하나에게 4의 피해를 줍니다
27,마법-전쟁의함성,4,0,0,Spell,강화,이번 턴이 끝날 때까지 아군 하수인 전체의 공격력이 2 증가합니다
